Account Name;Account IBAN;Account BIC;Bank Name;Booking Date;Value Date;Counterparty Name;Counterparty IBAN;Counterparty BIC;Transaction Text;Transaction Purpose;Amount;Currency;Account Balance after Transaction;Note;Category;Tax Relevant;Creditor ID;Mandate Reference
Savings Account;XX12 XXXX XXXX 5678 90;ABCDUS2L;National Bank;2024-02-01;2024-02-01;Jane Doe;YY34 XXXX XXXX 5432 10;WXYZUS2L;Deposit;Salary;2200;USD;2200;Monthly Salary;Income;Yes;123456789;Salary-2024-02
Checking Account;YY98 XXXX XXXX 4321 09;EFGHGB2L;International Bank;2024-02-02;2024-02-02;Gas Company;ZZ21 XXXX XXXX 8901 23;IJKLGB2L;Utility Payment;Gas Bill;80;EUR;1420;Monthly Utility Bill;Expenses;Yes;987654321;Gas-2024-02
Investment Account;ZZ76 XXXX XXXX 1098 76;MNOPFRPPXXX;Investment Bank;2024-02-03;2024-02-03;XYZ Corporation;XX14 XXXX XXXX 0123 45;QRSTFR2L;Stock Purchase;Investment;6000;USD;16000;Stock Purchase;Investments;No;567891234;Stocks-2024-02
Savings Account;AA22 XXXX XXXX 6789 45;UVWXGB2L;Citizens Bank;2024-02-04;2024-02-04;John Smith;YY29 XXXX XXXX 5678 90;ABCDUS2L;Transfer;Gift;200;GBP;2500;Birthday Gift;Gifts;No;135792468;Gift-2024-02
Checking Account;BB11 XXXX XXXX 6789 01;QRSTDEFFXXX;International Bank;2024-02-05;2024-02-05;Online Store;ZZ34 XXXX XXXX 7890 12;MNOPDEFFXXX;Online Purchase;Shopping;70;USD;1350;Online Shopping;Expenses;Yes;246813579;Shopping-2024-02
Investment Account;CC33 XXXX XXXX 3456 78;IJKLFRPPXXX;Investment Bank;2024-02-06;2024-02-06;ABC Corporation;AA89 XXXX XXXX 9012 78;EFGHFRPPXXX;Dividend;Investment Income;1200;EUR;17200;Quarterly Dividend;Income;Yes;987654321;Dividend-2024-02













































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































